Name,Tweets,tidy_tweet,sentiment,positive_percentage,negative_percentage,wordcloud
8,That face you make when you found out Netflix Cancelled Daredevil!!! # RenewDaredevil # SaveDaredevil # Daredevil pic.twitter.com/vJhBLXnOuQ,That face make when found Netflix Cancelled Daredevil RenewDaredevil SaveDaredevil Daredevil twitter vJhBLXnOuQ,positive,,,
9,"to all # daredevil fans who have recently had their show cancelled, we # sense8 fans understand how you feel. how about we all ask for both to be brought back and make twice the noise for both shows??",daredevil fans have recently their show cancelled sense fans understand feel about both brought back make twice noise both shows,positive,,,
TheFlash,,,,70,30,https://i.ibb.co/0GQHsnB/TheFlash.png
0,I've just watched episode S04E23 of The Flash (2014)! # TheFlash # tvtime https://tvtime.com/r/OiJ4 pic.twitter.com/CZHHauHMrD,just watched episode Flash TheFlash tvtime https tvtime twitter CZHHauHMrD,negative,,,
1,#8 | Candice Patton with a fan at the # HVFFSanJose # TheFlash pic.twitter.com/7qLr3qngyv,Candice Patton with HVFFSanJose TheFlash twitter qngyv,positive,,,
2,"# TheFlash So, I just watched o come all ye thankful & @ FLASHtvwriters did an excellent job weaving in cicada' s backstory & motivations, Gr8er than # Arrow & # Supergirl have, imo!",TheFlash just watched come thankful FLASHtvwriters excellent weaving cicada backstory motivations than Arrow Supergirl have,positive,,,
3,"Wait, so who's faster? Wally West or Nora West-Allen? # TheFlash",Wait faster Wally West Nora West Allen TheFlash,negative,,,
4,"@ dpanabaker I know that you have a busy schedule, but if you are able to be at @ MonsterManiaCon in March, it would make so many people happy including myself. Numerous people have been requesting you. # killerfrost # theflash # FridayThe13th # thecrazie",dpanabaker know that have busy schedule able MonsterManiaCon March would make many people happy including myself Numerous people have been requesting killerfrost theflash FridayThe thecrazies dareigoon,positive,,,
5,Acabo de ver S05E07The Flash (2014) # TheFlash # tvtime https://tvtime.com/r/OiEE pic.twitter.com/YFBonSOmOK,Acabo Flash TheFlash tvtime https tvtime OiEE twitter YFBonSOmOK,positive,,,
6,"Eu acabei de assistir o epis�dio S05E07, ""O Come, All Ye Thankful"", de # TheFlash! # tvtimehttps://tvtime.com/r/OiDT",acabei assistir epis Come Thankful TheFlash tvtimehttps tvtime OiDT,positive,,,
7,Being # TheFlash has its disadvantages... pic.twitter.com/sS2CHAStPG,Being TheFlash disadvantages twitter CHAStPG,positive,,,
8,Catching up with this week's # TheFlash now pic.twitter.com/jEqcqK5HxX,Catching with this week TheFlash twitter jEqcqK,positive,,,
9,#2 | Candice Patton with a fan at the # HVFFSanJose photo op (via @ iriswestsallen) # TheFlash pic.twitter.com/5jcbkRyhSe,Candice Patton with HVFFSanJose photo iriswestsallen TheFlash twitter jcbkRyhSe,negative,,,
The100,,,,50,50,https://i.ibb.co/mv3Pcmb/The100.png
0,Hello yes I could use a little # WayHaught AND # Clexa action please. # The100 # WynonnaEarp,Hello could little WayHaught Clexa action please WynonnaEarp,negative,,,
1,"Man this show is killing me, guys # The100",this show killing guys,negative,,,
2,per� loro gia stavano sullo spazio?! o sbaglio?! # The100 https://twitter.com/wondervellis/status/1069372867853336576 �,loro stavano sullo spazio sbaglio https twitter wondervellis status,negative,,,
3,# sosprisiones # TuAbandonoMePuedeMatar # EleccionesAndalucia # EleccionesAndalucia2018 # Andalucia # EleccionesAndaluciaA3N # EleccionesAndalucia2018 # AndaluciaDecide # GlobalCitizen # SusanaDiaz # PresidenteDeMexico # 2DAndalucia @ CiudadanosCs @ PPopular @ PSOE @ vox_es # FearTWD # The100 https://twitter.com/sarapator/status/1069269628092932096 �,sosprisiones TuAbandonoMePuedeMatar EleccionesAndalucia EleccionesAndalucia Andalucia EleccionesAndaluciaA EleccionesAndalucia AndaluciaDecide GlobalCitizen SusanaDiaz PresidenteDeMexico DAndalucia CiudadanosCs PPopular PSOE FearTWD https twitter sarapator status,positive,,,
4,I've just watched episode S01E04 of The 100! # The100 # tvtime https://tvtime.com/r/OiuF pic.twitter.com/9X6xJglq8v,just watched episode tvtime https tvtime OiuF twitter xJglq,negative,,,
5,ALIE � STATA LA CAUSA DELLE BOMBE 97 ANNI PRIMA RENDENDO IMPOSSIBILE VIVERE SULLA TERRA? # The100,ALIE STATA CAUSA DELLE BOMBE ANNI PRIMA RENDENDO IMPOSSIBILE VIVERE SULLA TERRA,positive,,,
6,I've just watched episode S05E03 of The 100! # The100 .. # tvtime https://tvtime.com/r/Oiua pic.twitter.com/3uuARQbzTT,just watched episode tvtime https tvtime Oiua twitter uuARQbzTT,negative,,,
7,tengo obsesi�n con Bellamy Blake # The100,tengo obsesi Bellamy Blake,positive,,,
8,Madi eu te amo # The100,Madi,positive,,,
9,comunque alie che � sbucata dal nulla mi fa troppo ridere! # The100,comunque alie sbucata nulla troppo ridere,positive,,,
Outlander,,,,60,40,https://i.ibb.co/D8DjCCf/Outlander.png
0,Mi gran problema de los domingo en la noche es... - Ver The Handmaid's Tale - Ver # Outlander # FirstWorldProblems,gran problema domingo noche Handmaid Tale Outlander FirstWorldProblems,positive,,,
1,I NEED TO WATCH NEXT WEEK�S EPISODE RIGHT NOW # outlander # OutlanderSeason4,NEED WATCH NEXT WEEK EPISODE RIGHT outlander OutlanderSeason,positive,,,
2,Getting ready to watch # outlander.,Getting ready watch outlander,positive,,,
3,"We got to see all three-Love,Brave and Strong like a woman-from Claire in episode 405 of # Outlander. @ Outlander_STARZ",three Love Brave Strong like woman from Claire episode Outlander Outlander STARZ,negative,,,
4,"Finally, # Outlander is top of the list under best of Sunday Prime time! About darn Time # TheFrasers # Outlander @ Outlander_STARZ @ SamHeughan @ caitrionambalfepic.twitter.com/JyafaNsHow",Finally Outlander list under best Sunday Prime time About darn Time TheFrasers Outlander Outlander STARZ SamHeughan caitrionambalfepic twitter JyafaNsHow,positive,,,
5,Murtagh�s excitement over Claire coming back # outlander # savages,Murtagh excitement over Claire coming back outlander savages,negative,,,
6,"""she is here""...THAT RABBIT WAS ALWAYS A SPOILER... # Outlander # Savageshttps://twitter.com/LexiLovesCait/status/1069362932323155970 �",here THAT RABBIT ALWAYS SPOILER Outlander Savageshttps twitter LexiLovesCait status,positive,,,
7,Rollo is so cute @ Outlander_STARZ # outlander # savages,Rollo cute Outlander STARZ outlander savages,negative,,,
8,This season has been fantastic! Each episode just gets better # Outlander,This season been fantastic Each episode just gets better Outlander,positive,,,
9,@ caitrionambalfe Looooooved how much your Irish country girl showed in this ep! # Outlander pic.twitter.com/L1y5EmTWhl,caitrionambalfe Looooooved much your Irish country girl showed this Outlander twitter EmTWhl,negative,,,
ParksandRecreation,,,,90,10,https://i.ibb.co/MDdSmDQ/Parksand-Recreation.png
0,It's a dangerous show. A dangerous thing. # parksandrecreation # treatyoself # amazonjunkie https://www.instagram.com/p/Bq5120WB-UA/?utm_source=ig_twitter_share&igshid=7wco3joo61s9 �,dangerous show dangerous thing parksandrecreation treatyoself amazonjunkie https instagram source twitter share igshid,positive,,,
1,I now have to rewatch every episode of # parksandrecreation to confirm that none of Ron and Leslie�s breakfasts included banana or blueberry pancakes. I have a hard time believing it.,have rewatch every episode parksandrecreation confirm that none Leslie breakfasts included banana blueberry pancakes have hard time believing,negative,,,
2,�Human equivalent of gas station sushi� is possibly one of the best insults ever thought of! # parksandrecreation # bossbitch # leslieknope,Human equivalent station sushi possibly best insults ever thought parksandrecreation bossbitch leslieknope,positive,,,
3,I wish they would reboot # ParksandRec And to the naysayers who say it hasn�t been long enough....any amount of time without Parks is TOO LONG! # TreatYoSelf # LittleSebastian # RonEffingSwanson # SnakeHoleLounge # GerryHadAFartAttack # BulaBulaBula # JoansGotcha # ParksAndRecreation,wish they would reboot ParksandRec naysayers hasn been long enough amount time without Parks LONG TreatYoSelf LittleSebastian RonEffingSwanson SnakeHoleLounge GerryHadAFartAttack BulaBulaBula JoansGotcha ParksAndRecreation,positive,,,
4,# taxes # parksandrecreation pic.twitter.com/1KQsXqHE9m,taxes parksandrecreation twitter KQsXqHE,positive,,,
5,# ParksandRecreation pic.twitter.com/rlUp9O4FQy,ParksandRecreation twitter rlUp,positive,,,
6,"Gibt es eigentlich sowas wie eine Petition, um # parksandrecreation endlich auf @ NetflixDE zu holen?",Gibt eigentlich sowas eine Petition parksandrecreation endlich NetflixDE holen,positive,,,
7,The 22 Greatest TV Couples of All Time https://ew.com/gallery/greatest-tv-couples-of-all-time/?utm_source=twitter.com&utm_medium=social&utm_campaign=social-button-sharing � via @ ew # AprilAndAndy # ParksAndRecreation @ DisneyStudios # CoryAndTopanga # BoyMeetsWorld @ ABCNetwork # ElenaGilbertAndTheSalvatoreBrothers # TheVampireDiaries @ cwtvd # HomerAndMargeSimpson # TheSimpsons @ FoxTV,Greatest Couples Time https gallery greatest couples time source twitter medium social campaign social button sharing AprilAndAndy ParksAndRecreation DisneyStudios CoryAndTopanga BoyMeetsWorld ABCNetwork ElenaGilbertAndTheSalvatoreBrothers TheVampireDiaries cwtvd HomerAndMargeSimpson TheSimpsons FoxTV,positive,,,
8,�No one makes lists better than Leslie Knope!� 12.1: Make a List originalfunko # funkophotoaday . . . . . . . . . . # leslieknope # parksandrec # parksandrecreation # mouserat # amypoehler� https://www.instagram.com/p/Bq3aYzthajy/?utm_source=ig_twitter_share&igshid=1tv8c8v3y029y �,makes lists better than Leslie Knope Make List originalfunko funkophotoaday leslieknope parksandrec parksandrecreation mouserat amypoehler https instagram aYzthajy source twitter share igshid,positive,,,
9,So # schur multiverse? # Brooklyn99 # goodplace # parksandrecreation # schurmultiverse,schur multiverse Brooklyn goodplace parksandrecreation schurmultiverse,positive,,,
BreakingBad,,,,60,40,https://i.ibb.co/RcLPdCj/Breaking-Bad.png
0,If Walter White went to church would he be a Methodist? # BreakingBad,Walter White went church would Methodist BreakingBad,negative,,,
1,"S3E6: Goodbye RV Walt is totally just training Gale to replace him in 3 months time. And Walt Jr is an Evertonian?!?! You can go off people, you know!! I hope he enjoyed tonight�s game # LFC # EFC # BreakingBad",Goodbye Walt totally just training Gale replace months time Walt Evertonian people know hope enjoyed tonight game BreakingBad,positive,,,
2,# TiempoCompartido el que sale en la pel�cula se parece a un actor de # BreakingBad,TiempoCompartido sale cula parece actor BreakingBad,positive,,,
3,S3E5: Is Skyler having doubts about the divorce? Or is she just getting money greedy? # BreakingBad,Skyler having doubts about divorce just getting money greedy BreakingBad,positive,,,
4,Bryan Cranston for breaking bad # pencil # BreakingBad # graphite # drawingpic.twitter.com/aHBAnHfdMW,Bryan Cranston breaking pencil BreakingBad graphite drawingpic twitter aHBAnHfdMW,negative,,,
5,# Fact: It's ILLEGAL to use a LEGAL NAME. [Legal = Fraud = Crime] Read and share the # BCCRSS: (http://legalnametruth.wordpress.com ) # sharingiscaring # NylanderWatch # MINvsNE # ONStorm # GlobalCitizenFestivalSA # UFCAdelaide # WilderFury # CFBPlayoff # MMA2018 # CHIvsNYG # RomaInter # BreakingBad pic.twitter.com/1RedjFuctf,Fact ILLEGAL LEGAL NAME Legal Fraud Crime Read share BCCRSS legalnametruth wordpress sharingiscaring NylanderWatch MINvsNE ONStorm GlobalCitizenFestivalSA UFCAdelaide WilderFury CFBPlayoff CHIvsNYG RomaInter BreakingBad twitter RedjFuctf,positive,,,
6,"[ # SERIES] # BetterCallSaul Si estabas necesitando una raz�n para ver el spin-off de # BreakingBad aqu� @ 08Federock te da cinco... Porque s�, as� de fans todos nosotros... Aqu� el enlace:https://cuatrobastardos.com/2018/12/02/5-razones-para-ver-better-call-saul/ �",SERIES BetterCallSaul estabas necesitando para spin BreakingBad Federock cinco Porque fans todos nosotros enlace https cuatrobastardos razones para better call saul,positive,,,
7,Apart from # PrisonBreak # ThelastShip # Power # BreakingBad # GOT # SUITS Which other series be dope ?,Apart from PrisonBreak ThelastShip Power BreakingBad SUITS Which other series dope,negative,,,
8,Que buena publicidad de @ Nike # BreakingBad pic.twitter.com/UDwh5yTFJP,buena publicidad Nike BreakingBad twitter UDwh yTFJP,positive,,,
9,Walter finally crossed the line for me when he ... wait ... he never did ... he fucking rocked. # BreakingBad,Walter finally crossed line when wait never fucking rocked BreakingBad,negative,,,
HouseOfCards,,,,60,40,https://i.ibb.co/TRdPgvC/House-Of-Cards.png
0,CLAIRE UNDERWOOD COMO PRESIDENTA DE LOS EEUU Y SU GABINETE ENTERAMENTE FEMENINO ME HA DADO LA FUERZA PARA TERMINAR ESTE 2018 # HouseOfCards,CLAIRE UNDERWOOD COMO PRESIDENTA EEUU GABINETE ENTERAMENTE FEMENINO DADO FUERZA PARA TERMINAR ESTE HouseOfCards,positive,,,
1,I've just watched episode S01E03 of House of Cards! # houseofcards # tvtimehttps://tvtime.com/r/Oiyz,just watched episode House Cards houseofcards tvtimehttps tvtime Oiyz,negative,,,
2,"Termine de ver # HouseOfCards, realmente empieza muy bien. Pero a partir del 6to. capitulo pisan el acelerador, y la cagan. Transcurre todo muy rapido, cierres a personajes sin sentido ni explicacion. Ni hablar del pesimo final. Falta de ideas y un buen guion.",Termine HouseOfCards realmente empieza bien Pero partir capitulo pisan acelerador cagan Transcurre todo rapido cierres personajes sentido explicacion hablar pesimo final Falta ideas buen guion,negative,,,
3,Viens de regarder l'épisode S06E07 de House of Cards (...! # HouseofCards # tvtime https://tvtime.com/r/Oiqh pic.twitter.com/SyjSRxo0YN,Viens regarder pisode House Cards HouseofCards tvtime https tvtime Oiqh twitter SyjSRxo,positive,,,
4,Terminó para siempre # HouseOfCards y con @ amarantalila descargamos todo nuestro enojo con ese final nefasto en el nuevo episodio de # TomáteloEnSerie (OMG estamos en Spotify)https://open.spotify.com/episode/0J32zl8mjNUL4zkgWNkG7x?si=ccODL4FiTce4Cfc8pP7qvA …,Termin para siempre HouseOfCards amarantalila descargamos todo nuestro enojo final nefasto nuevo episodio teloEnSerie estamos Spotify https open spotify episode mjNUL zkgWNkG ccODL FiTce,positive,,,
5,I've just watched episode S06E07 of House of Cards (...! # HouseofCards # tvtimehttps://tvtime.com/r/OilO,just watched episode House Cards HouseofCards tvtimehttps tvtime OilO,negative,,,
6,Working on this new track right now writing a new song # HouseOfCards # SongbookSunday # music # lyrics # creativeprocess # songwriting # inspiration # jasminecrowepic.twitter.com/XMv68vGj7r,Working this track right writing song HouseOfCards SongbookSunday music lyrics creativeprocess songwriting inspiration jasminecrowepic twitter,positive,,,
7,I've just watched episode S06E06 of House of Cards (...! # HouseofCards # tvtime https://tvtime.com/r/Oijs pic.twitter.com/IhrrokQ5C4,just watched episode House Cards HouseofCards tvtime https tvtime Oijs twitter IhrrokQ,negative,,,
8,"Но самая жопа и апогей всего вопрошания наступил сейчас, когда я смотрю ПОЛИТИЧЕСКИЙ СЕРИАЛ и гадаю, о чем там мать твою 6 сезонов? Типа понятно, что в политике дофига интриг и все такое, но я пока не представляю, что меня ждёт и боюсь думать # HouseOfCards # карточныйдомик",HouseOfCards,positive,,,
9,"Но если в Сверхах и ДВ я пытаюсь понять, откуда черпались идеи, то вот в Мыслить как преступник я просто КАК У ВАС НЕ ИССЯКЛА ФАНТАЗИЯХ ЗА СТОЛЬКО СЕЗОНОВ? Когда сюжет касается реальной жизни без магии мне вообще не по себе, что сериал существует столько лет # HouseOfCards",HouseOfCards,positive,,,
ThisisUs,,,,70,30,https://i.ibb.co/kgRbbzK/ThisisUs.png
0,I'm watching This Is Us @ NBCThisisUs # ThisIsUs via @ TelfieApp # Telfiehttp://telfie.co/uK3BYT,watching This NBCThisisUs ThisIsUs TelfieApp Telfietelfie,negative,,,
1,"Todos dicen que Randall es el m�s parecido a Jack, yo creo que es Kevin, solo que no tiene como demostrarlo, es el Jack before Rebecca # THISISUS",Todos dicen Randall parecido Jack creo Kevin solo tiene como demostrarlo Jack before Rebecca THISISUS,positive,,,
2,This is beautiful # thisisus https://twitter.com/nbcthisisus/status/1069237250104467456 �,This beautiful thisisus https twitter nbcthisisus status,positive,,,
3,Bruh! My mind is numb! # ThisIsUs,Bruh mind numb ThisIsUs,negative,,,
4,NO PUEDO CREER QUE NICKY ESTA VIVO # THISISUS,PUEDO CREER NICKY ESTA VIVO THISISUS,positive,,,
5,Watching Kevin hug Randall after finding him in his office crying in a corner. # ThisIsUs pic.twitter.com/xHM4MJglPM,Watching Kevin Randall after finding office crying corner ThisIsUs twitter MJglPM,positive,,,
6,Beth and Randall better not break up or I�m done # ThisIsUs,Beth Randall better break done ThisIsUs,positive,,,
7,I could not care less about this storyline of Jack and Kevin in Vietnam # ThisIsUs,could care less about this storyline Jack Kevin Vietnam ThisIsUs,negative,,,
8,Waiting for # 15thjanuary # ThisIsUs,Waiting thjanuary ThisIsUs,positive,,,
9,"queria um marido que fosse um cadinho jack, um cadinho randall e um cadinho toby # ThisIsUs",queria marido fosse cadinho jack cadinho randall cadinho toby ThisIsUs,positive,,,
SexandtheCity,,,,90,10,https://i.ibb.co/JqDjYbB/Sexandthe-City.png
0,"“Friends that travel together, stay together.” . . . # earthfocus # exploringglobe # tlpicks # trendywithapassport # sexandthecity # squadgoals # newyorkcity # discoverearth # welivetoexplore… https://www.instagram.com/p/Bq53KS1AfVr/?utm_source=ig_twitter_share&igshid=m84ybpyuauce …",Friends that travel together stay together earthfocus exploringglobe tlpicks trendywithapassport sexandthecity squadgoals newyorkcity discoverearth welivetoexplore https instagram AfVr source twitter share igshid ybpyuauce,positive,,,
1,"You are stunning, intelligent, and funny!! And what is she? “Married.” That’s all. # SATC # SexandtheCity # CharlotteYork",stunning intelligent funny what Married That SATC SexandtheCity CharlotteYork,positive,,,
2,"“Ross: First divorce: wife's hidden sexuality, not my fault. Second divorce: said the wrong name at the altar, kind of my f # # sexandthecity",Ross First divorce wife hidden sexuality fault Second divorce said wrong name altar kind sexandthecity,positive,,,
3,交際期間の半分は経たなきゃとても忘れられない。 (Charlotte/2-1) # satc # sexandthecity pic.twitter.com/5MPfke01k6,Charlotte satc sexandthecity twitter MPfke,positive,,,
4,When Smith waits for Samantha # sexandthecity,When Smith waits Samantha sexandthecity,positive,,,
5,"La primera vez que vi # SexandtheCity tenía 10 años, todo me parecía genial y absolutamente ajeno. 13 años después me sigue pareciendo genial y sumamente familiar. Maes, esta serie es una Biblia.. tanto conocimiento.",primera SexandtheCity todo parec genial absolutamente ajeno despu sigue pareciendo genial sumamente familiar Maes esta serie Biblia tanto conocimiento,positive,,,
6,"“To be in a couple, do you have to put your single self on a shelf?” Sarah Jessica Parker # # sexandthecity",couple have your single self shelf Sarah Jessica Parker sexandthecity,negative,,,
7,What magazine? ”Convenient Theories For You Monthly?” # SATC # SexandtheCity # MirandaHobbes,What magazine Convenient Theories Monthly SATC SexandtheCity MirandaHobbes,positive,,,
8,"“Some people are settling down, some people are settling and some people refuse to settle for anything less than butterflie # # sexandthecity",Some people settling down some people settling some people refuse settle anything less than butterflie sexandthecity,positive,,,
9,"“GET THAT THING OUT OF MY ASS OR I’M GONNA SHIT ON IT!!”...I mean, is that the dirtiest thing you’ve ever heard?! # SATC # SexandtheCity",THAT THING GONNA SHIT mean that dirtiest thing ever heard SATC SexandtheCity,positive,,,
GameofThrones,,,,60,40,https://i.ibb.co/bz1Gcq8/Gameof-Thrones.png
0,What if? You couldn't stream # GameofThrones # DaveChapelle # AmySchumer? Happened once. Find out at http://bit.ly/barneyswall_kick2 �pic.twitter.com/f0XjHPJFWR,What couldn stream GameofThrones DaveChapelle AmySchumer Happened once Find barneyswall kick twitter XjHPJFWR,negative,,,
1,"We know that there's still one more season of # GameofThrones to come, but this box set is currently 38% off and that's fairly tempting. It might be # oneperfectgift. https://buff.ly/2TBCWbO pic.twitter.com/BTfP3XOMTE",know that there still more season GameofThrones come this currently that fairly tempting might oneperfectgift https buff TBCWbO twitter BTfP XOMTE,positive,,,
2,I was wondering how I was going to make it til the next season of # GameofThrones. # Individual1 and his shenanigans have been the perfect way to pass the time.pic.twitter.com/TV9pDfMeBp,wondering going make next season GameofThrones Individual shenanigans have been perfect pass time twitter pDfMeBp,positive,,,
3,Busy December. # thedarkknighttrilogy # harrypotter # starwars # gameofthrones # Bluraypic.twitter.com/2VfJQKXYJf,Busy December thedarkknighttrilogy harrypotter starwars gameofthrones Bluraypic twitter VfJQKXYJf,positive,,,
4,GOT GOT GOT GOT # gameofthrones https://twitter.com/Draeneirys/status/1069320360376582145 �,gameofthrones https twitter Draeneirys status,positive,,,
5,George R.R. Martin's 'Fire And Blood' Hints 'Game Of Thrones' Season 8 Finale # GeorgeRRMartin # FireandBlood # GameofThrones # GameofThronesSeason8 # GameofThronesFinalehttp://en.businesstimes.cn/articles/105399/20181130/george-r-r-martin-fire-and-blood-hints-game-of-thrones-season-8-finale.htm#.XARtp7b8r5o.twitter �,George Martin Fire Blood Hints Game Thrones Season Finale GeorgeRRMartin FireandBlood GameofThrones GameofThronesSeason GameofThronesFinaleen businesstimes articles george martin fire blood hints game thrones season finale htm# XARtp twitter,positive,,,
6,(via Game Of Laughs:https://twitter.com/GameOfLaughs ) # GameOfThrones pic.twitter.com/Zg2P1bH119,Game Laughs https twitter GameOfLaughs GameOfThrones twitter,positive,,,
